IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
217.142.140.142,443,443,true,ICN,Asia Pacific,KR,Seoul,54,4.81
150.230.42.80,443,443,true,SJC,North America,US,San Jose,174,3.09
167.234.222.144,443,443,true,SJC,North America,US,San Jose,192,2.63
140.245.82.35,443,443,true,LAX,North America,US,Los Angeles,175,2.61
141.147.183.101,443,443,true,LAX,North America,US,Los Angeles,199,2.49
152.67.231.219,443,443,true,SJC,North America,US,San Jose,153,2.47
132.226.114.74,443,443,true,LAX,North America,US,Los Angeles,194,2.21
141.147.89.109,443,443,true,FRA,Europe,DE,Frankfurt,236,2.18
151.145.74.54,443,443,true,SIN,Asia Pacific,SG,Singapore,252,2.07
143.47.243.144,2053,443,true,LHR,Europe,GB,London,228,1.97
150.230.193.203,443,443,true,LAX,North America,US,Los Angeles,169,1.94
158.101.212.236,443,443,true,FRA,Europe,DE,Frankfurt,223,1.91
155.248.168.225,443,443,true,SIN,Asia Pacific,SG,Singapore,251,1.88
146.56.118.126,443,443,true,SIN,Asia Pacific,SG,Singapore,243,1.88
129.146.254.39,443,443,true,LAX,North America,US,Los Angeles,171,1.86
141.147.147.180,443,443,true,KIX,Asia Pacific,JP,Osaka,182,1.85
150.230.218.86,443,443,true,SIN,Asia Pacific,SG,Singapore,241,1.79
130.162.183.73,443,443,true,FRA,Europe,DE,Frankfurt,222,1.76
130.162.179.62,443,443,true,FRA,Europe,DE,Frankfurt,225,1.76
132.145.253.207,443,443,true,FRA,Europe,DE,Frankfurt,245,1.70
152.70.28.158,443,443,true,FRA,Europe,DE,Frankfurt,232,1.68
152.70.57.160,443,443,true,FRA,Europe,DE,Frankfurt,253,1.68
89.168.107.197,443,443,true,FRA,Europe,DE,Frankfurt,247,1.65
40.233.70.7,8443,443,true,YYZ,North America,CA,Toronto,223,1.65
141.147.16.152,8443,443,true,FRA,Europe,DE,Frankfurt,242,1.64
143.47.236.90,443,443,true,FRA,Europe,DE,Frankfurt,226,1.63
84.235.166.67,443,443,true,FRA,Europe,DE,Frankfurt,232,1.61
193.123.185.174,443,443,true,FRA,Europe,DE,Frankfurt,248,1.56
131.186.21.229,443,443,true,LAX,North America,US,Los Angeles,223,1.52
150.230.106.132,443,443,true,SIN,Asia Pacific,SG,Singapore,242,1.52
141.147.99.69,443,443,true,FRA,Europe,DE,Frankfurt,235,1.49
152.69.235.244,443,443,true,SIN,Asia Pacific,SG,Singapore,243,1.48
130.162.255.95,443,443,true,FRA,Europe,DE,Frankfurt,223,1.48
193.123.181.195,443,443,true,FRA,Europe,DE,Frankfurt,236,1.47
89.168.90.164,443,443,true,FRA,Europe,DE,Frankfurt,248,1.47
141.148.232.57,443,443,true,FRA,Europe,DE,Frankfurt,241,1.46
132.226.212.95,443,443,true,FRA,Europe,DE,Frankfurt,240,1.46
141.147.94.173,443,443,true,FRA,Europe,DE,Frankfurt,244,1.43
84.235.171.235,443,443,true,FRA,Europe,DE,Frankfurt,244,1.43
129.159.129.107,2053,443,true,TLV,Middle East,IL,Tel Aviv,231,1.41
152.70.49.240,443,443,true,FRA,Europe,DE,Frankfurt,233,1.40
138.2.152.111,443,443,true,FRA,Europe,DE,Frankfurt,229,1.40
144.24.178.255,443,443,true,FRA,Europe,DE,Frankfurt,264,1.40
158.101.217.98,443,443,true,FRA,Europe,DE,Frankfurt,248,1.36
144.24.93.180,443,443,true,SIN,Asia Pacific,SG,Singapore,258,1.36
129.159.15.190,443,443,true,FRA,Europe,DE,Frankfurt,246,1.36
144.21.43.50,443,443,true,FRA,Europe,DE,Frankfurt,233,1.35
141.147.8.66,443,443,true,FRA,Europe,DE,Frankfurt,246,1.35
129.159.44.99,80,443,true,SJC,North America,US,San Jose,188,1.33
129.159.221.228,443,443,true,FRA,Europe,DE,Frankfurt,263,1.33
151.145.79.38,443,443,true,SIN,Asia Pacific,SG,Singapore,240,1.31
141.148.236.78,443,443,true,FRA,Europe,DE,Frankfurt,287,1.31
143.47.230.25,443,443,true,FRA,Europe,DE,Frankfurt,227,1.31
129.154.203.253,443,443,true,SIN,Asia Pacific,SG,Singapore,277,1.29
79.76.126.171,443,443,true,FRA,Europe,DE,Frankfurt,226,1.29
143.47.179.150,443,443,true,FRA,Europe,DE,Frankfurt,223,1.29
144.21.51.59,443,443,true,FRA,Europe,DE,Frankfurt,238,1.26
141.147.86.115,443,443,true,FRA,Europe,DE,Frankfurt,304,1.26
158.101.215.252,443,443,true,FRA,Europe,DE,Frankfurt,235,1.26
132.145.54.84,8443,443,true,LHR,Europe,GB,London,237,1.26
193.123.188.119,443,443,true,FRA,Europe,DE,Frankfurt,263,1.25
64.110.91.178,443,443,true,LAX,North America,US,Los Angeles,224,1.25
134.185.111.165,443,443,true,SIN,Asia Pacific,SG,Singapore,247,1.25
143.47.225.165,443,443,true,FRA,Europe,DE,Frankfurt,239,1.25
146.56.38.129,443,443,true,SIN,Asia Pacific,SG,Singapore,274,1.24
140.245.72.164,443,443,true,SIN,Asia Pacific,SG,Singapore,263,1.24
143.47.190.110,443,443,true,FRA,Europe,DE,Frankfurt,234,1.24
152.70.155.147,2087,2087,true,LAX,North America,US,Los Angeles,189,1.24
158.180.27.183,443,443,true,FRA,Europe,DE,Frankfurt,265,1.23
152.70.98.82,443,443,true,SIN,Asia Pacific,SG,Singapore,246,1.22
138.3.252.253,443,443,true,FRA,Europe,DE,Frankfurt,281,1.22
134.185.117.42,443,443,true,SIN,Asia Pacific,SG,Singapore,247,1.20
138.2.125.124,443,443,true,SIN,Asia Pacific,SG,Singapore,262,1.19
150.230.125.138,443,443,true,FRA,Europe,DE,Frankfurt,224,1.19
